Type;Dist;PageSize;ContentSize;RevisionSize;UserSize;ParsingTime;AnalysingTime;TranslationTime;CompilationTime;ExecutionTime;Time;TimeSec;Cycles;Instructions;L1Misses;LLCMisses;BranchMisses;TaskClock;Scale;IPC;CPUS;GHZ
1;0.5;13387;221764;221764;221764;158.43000002000000000000;282.32333333000000000000;567.81000003000000000000;2083.65666667000000000000;21611.25999998000000000000;24703.47999995000000000000;8.01;8635742668.32;9128481405.63;105062624.98;20983400.62;10565636.33;2570153389.65;300;105.76;99.89;336.00
4;0.5;13387;221764;221764;221764;42.00000000000000000000;76.04000000000000000000;187.85000000000000000000;587.87000000000000000000;8187.39000000000000000000;9081.15000000000000000000;.89;3133183669.00;4046751884.00;39769455.00;7781658.00;3032061.00;935597612.00;27;35.06;26.77;90.53
7;0.5;13387;221764;221764;221764;253.81000003000000000000;199.76666651000000000000;198.00333333000000000000;2438.21333330000000000000;1151.43999992000000000000;4241.23333332000000000000;1.01;1608879902.68;1502670625.68;16065684.44;1035715.00;10380066.35;478615489.32;900;274.72;300.23;1008.66
10;0.5;13387;221764;221764;221764;70.65000000000000000000;17.71000000000000000000;22.49000000000000000000;789.86000000000000000000;3.57000000000000000000;904.28000000000000000000;.01;350112125.00;295140068.00;3961664.00;101964.00;3117198.00;103480971.00;100;85.26;100.64;338.41
12;0.5;13387;221764;221764;221764;824.66000000000000000000;1334.22000000000000000000;1864.73000000000000000000;16909.12000000000000000000;23377.56000000000000000000;44310.29000000000000000000;1.08;16523098850.00;16502718319.00;207625869.00;47302160.00;85211417.00;4908840398.00;1851;1802.43;1866.82;6230.43
