Type;Dist;LoadDuration;PageSize;UserSize;ParsingTime;AnalysingTime;TranslationTime;CompilationTime;ExecutionTime;Time;TimeSec;Cycles;Instructions;L1Misses;LLCMisses;BranchMisses;TaskClock;Scale;IPC;CPUS;GHZ
1;0.5;2028224;13387;20922;63.83666668000000000000;70.09333332000000000000;194.56666666000000000000;1185.24333336000000000000;114.43000000000000000000;1628.16999999000000000000;.01060000000000000000;6099377.78310000000000000000;5093036.40010000000000000000;65593.33660000000000000000;5337.01020000000000000000;47857.40990000000000000000;1810190.25660000000000000000;3.00000000000000000000;.83580000000000000000;.99150000000000000000;3.37000000000000000000
2;0.5;2015750;13387;20922;75.36333336000000000000;74.07333335000000000000;271.69000001000000000000;1380.26333333000000000000;57777.75666665000000000000;59579.14666669000000000000;.17910000000000000000;197167941.62020000000000000000;185445018.22310000000000000000;429923.12970000000000000000;347732.25020000000000000000;85952.99670000000000000000;59789129.66000000000000000000;3.00000000000000000000;.94510000000000000000;.99690000000000000000;3.29520000000000000000
3;0.5;2251239;13387;20922;79.49333329000000000000;76.05333331000000000000;280.42666665000000000000;1426.21333335000000000000;19178.09333334000000000000;21040.27999994000000000000;.06190000000000000000;71491455.37000000000000000000;77046397.52620000000000000000;160435.62990000000000000000;41034.98690000000000000000;83520.21680000000000000000;21243168.83660000000000000000;3.00000000000000000000;1.07800000000000000000;.99450000000000000000;3.36520000000000000000
4;0.5;2331852;13387;20922;122.79000000000000000000;129.26000000000000000000;463.79000000000000000000;2059.87000000000000000000;638.48000000000000000000;3414.19000000000000000000;.00080000000000000000;13078953.13000000000000000000;10170087.34000000000000000000;114044.23000000000000000000;8219.46000000000000000000;76176.00000000000000000000;3870682.11000000000000000000;1.00000000000000000000;.78640000000000000000;.99270000000000000000;3.37890000000000000000
5;0.5;2002794;13387;20922;105.58000000000000000000;112.50000000000000000000;488.24000000000000000000;2059.03000000000000000000;56505.68000000000000000000;59271.03000000000000000000;.06180000000000000000;195564003.08000000000000000000;190901955.84000000000000000000;458448.69000000000000000000;354858.48000000000000000000;118437.12000000000000000000;59408009.90000000000000000000;1.00000000000000000000;.97820000000000000000;.99460000000000000000;3.28990000000000000000
6;0.5;2349787;13387;20922;91.47000000000000000000;95.00000000000000000000;373.93000000000000000000;1797.40000000000000000000;16398.08000000000000000000;18755.88000000000000000000;.02070000000000000000;62768389.17000000000000000000;79252070.35000000000000000000;142229.28000000000000000000;68527.07000000000000000000;104594.57000000000000000000;19061798.86000000000000000000;1.00000000000000000000;1.26670000000000000000;.99350000000000000000;3.29070000000000000000
7;0.5;2277354;13387;20922;55.09999997000000000000;52.02999998000000000000;311.93000002000000000000;1236.83666671000000000000;112.25000004000000000000;1768.14666667000000000000;.01060000000000000000;6335548.29980000000000000000;6857402.83970000000000000000;74054.15040000000000000000;9009.94050000000000000000;56902.74410000000000000000;1924841.92060000000000000000;3.00000000000000000000;1.08850000000000000000;.99200000000000000000;3.29030000000000000000
8;0.5;1803924;13387;20922;86.28333338000000000000;73.50666665000000000000;515.78666665000000000000;1896.74333333000000000000;68083.89000002000000000000;70656.20999999000000000000;.21150000000000000000;238939424.36680000000000000000;198509579.46660000000000000000;647172.26380000000000000000;361186.07040000000000000000;130320.69680000000000000000;71134808.59680000000000000000;3.00000000000000000000;.83000000000000000000;.99800000000000000000;3.35930000000000000000
9;0.5;1772904;13387;20922;63.32999999000000000000;52.47666668000000000000;387.03333332000000000000;1397.42666667000000000000;15820.20999996000000000000;17720.47666667000000000000;.05110000000000000000;59254376.50630000000000000000;76212181.05670000000000000000;132101.52000000000000000000;48633.52360000000000000000;84731.05010000000000000000;17999693.64670000000000000000;3.00000000000000000000;1.28720000000000000000;.99550000000000000000;3.28990000000000000000
10;0.5;2013161;13387;20922;58.84000000000000000000;17.88000000000000000000;41.98000000000000000000;1089.53000000000000000000;5.54000000000000000000;1213.77000000000000000000;.00060000000000000000;3052445.59000000000000000000;3011849.88000000000000000000;37158.92000000000000000000;1474.32000000000000000000;31210.93000000000000000000;929204.74000000000000000000;1.00000000000000000000;1.02240000000000000000;1.00430000000000000000;3.28990000000000000000
11;0.5;1986057;13387;20922;66.38000000000000000000;22.98000000000000000000;38.37000000000000000000;1078.19000000000000000000;5.30000000000000000000;1211.22000000000000000000;.00060000000000000000;2917877.29000000000000000000;3052188.59000000000000000000;36109.04000000000000000000;2054.58000000000000000000;31572.51000000000000000000;888367.42000000000000000000;1.00000000000000000000;1.05220000000000000000;1.00450000000000000000;3.28860000000000000000
